Profil,Disponibilité,Lieu_de_recherche,Points_forts,Compétence,Expérience,Contrat,Metier_regroupe,Experience_mois,Departement,candidat_id
Data Scientist Junior – Passionné par l'Analyse de Données et le Machine Learning,immédiate,26 - VALENCE,,Business Intelligence BI Informatique décisionnelle Intermédiaire Gestion de bases de données NoSQL Gestion de la relation client CRM Débutant Gestion de versions de logiciels de jeux GitHub Langages de programmation informatique Logiciels de gestion de base de données Microsoft Excel Nodejs PLSQL Programmation en JavaScript Intermédiaire Programmation en Python Reactjs Salesforce Techniques de résolution de problèmes XML,Data Scientist INNOVATIF Paris FRANCE 1 Ans,Intérim,Data Scientist,12.0,26,599
Chargé d'études statistiques/Data Analyst,immédiate,54 - NANCY,,Big data Analytics Business Intelligence BI Informatique décisionnelle Intermédiaire Gestion budgétaire Gestion de linéaires Informatique Intermédiaire Intelligence économique Langages de programmation informatique Microsoft Excel Intermédiaire Modélisation et simulation Modélisation statistique Progiciel de gestion SAS Statistiques Intermédiaire Programmation en Python Intermédiaire Statistiques appliquées Intermédiaire,Master Econométrie Et Statistiques Bac5 et plus ou équivalents 2 Ans,CDD-alternance,Data Analyst,24.0,54,600
Data Analyst,immédiate,10 - TROYES,,Application des méthodes de machine learning dans BI Business Intelligence BI Informatique décisionnelle Microsoft Excel Programmation en Python,Data Analyst BI Orange Business Massy IDF 3 Ans,Intérim,Data Analyst,36.0,10,601
"Préparateur physique, analyste de performance, formateur, sport de haut niveau, management, état optimal de performance, certifié ""Flow"".",immédiate,26 - VALENCE,,Activités de remise en forme Anatomie humaine Conception de programmes de formation Diététique Logiciel de traitement de texte Avancé Neurosciences du sport Physiologie Pratique de la musculation Pratique du cyclisme Pratique du fitness Procédures durgence et de premiers secours Sociologie Sociologie des organisations Techniques dentraînement sportif Utilisation de logiciels de tableur Avancé,Certification à lutilisation du bilan InterQualia Bac5 et plus ou équivalents 1 Ans,CDD,Autre,12.0,26,602
Contrôleur / Contrôleuse de gestion financière,immédiate,34 - MONTPELLIER,Analyse de données expérimentales Analyse de données financières Comptabilité analytique Statistiques appliquées,Analyse de données expérimentales Comptabilité analytique Gestion budgétaire Statistiques appliquées,Responsable administratif et financier Liss et associes 5 Ans,CDI,Autre,60.0,34,603
"Recherche d’un poste dans les domaines de l’informatique, l'acoustique et l’ingénierie sonore.",immédiate,75 - PARIS 18,Reaper Logic Pro X Ableton Fmod Wwise C C C Unity Anglais,Appréciation auditive C CSS Gestion de bases de données NoSQL HTML Informatique scientifique et technique Java Langage C Langages de programmation informatique Logiciels de montage PHP Programmation en Python Intermédiaire Programmation logicielle Script Shell Son Systèmes dexploitation informatique,Développeur dapplications 5 Ans,CDD-alternance,Autre,60.0,75,604
"Ingénieur agronome, projet de développement agricole",immédiate,08 - CHARLEVILLE-MÉZIÈRES,Sadapter aux changements Assister techniquement une collectivité un industriel Gestion de projet Concevoir et gérer un projet Sensibiliser un public,Collecter des informations pour préparer une séquence de formation une leçon Concevoir lingénierie de formation et les séquences pédagogiques Définir des besoins en développement des compétences Définir un objectif dapprentissage et le programme des activités pédagogiques Développer une démarche pédagogique pour lenseignement des savoirs fondamentaux Enseigner transmettre des connaissances développer des compétences Intermédiaire Organiser et piloter un programme de formation Intermédiaire Réaliser un bilan de compétences,Consultant indépendant développement agricole ingénierie de formation data analyst AGADOConsulting Europe Afrique Asie 3 Ans,CDD,Autre,36.0,08,605
Developpeur Backend/Fullsack,immédiate,17 - LA ROCHELLE,Informatique Microinformatique JS Python SQL,Électricité Informatique Logiciel de traitement de texte Intermédiaire Microinformatique Suite bureautique LibreOffice Avancé Système dexploitation Windows Système informatique embarqué ou fixe Utilisation de logiciels de tableur Intermédiaire,2022 Data Engineer – Travel Planet – Sophia Antipolis France 5 mois 3 Ans,CDI,Autre,41.0,17,606
je cherche un travail en tant que traductrice français wofof,immédiate,49 - ANGERS,,Conception de sites web Avancé Gestion de la relation client CRM Avancé HTML Avancé Image de synthèse Avancé Linguistique Avancé Logiciel de traitement de texte Avancé Photoshop Avancé Pratique de langues étrangères Avancé Systèmes dinformation de gestion Avancé Typographie Avancé Utilisation de logiciels de tableur Avancé,informaticienne développement du site internet HTML Magasin de la Fête Ormes 1 Ans,CDI,Autre,12.0,49,607
Développeur Full Stack - Disponible,immédiate,14 - CAEN,Faire preuve de curiosité Faire preuve de persévérance Travailler en équipe Diagnostiquer la nature et lorigine des incidents et mettre en oeuvre les mesures correctives Développer un logiciel un système dinformations une application,Anglais technique Apache Application web Architecture MVC Modèle Vue Contrôleur Intermédiaire CSS Avancé Docker Avancé Gestion de bases de données NoSQL Avancé Gestion des configurations Gestion des relations clientèle GitLab Avancé HTML Avancé Langage C Avancé Langages de programmation informatique Intermédiaire Microsoft Active Directory Intermédiaire MySQL Avancé Nodejs Avancé PHP Intermédiaire Programmation en JavaScript Avancé Programmation en Python Débutant Programmation logicielle Intermédiaire Réseaux informatiques et télécoms Intermédiaire Script Shell Sécurité des systèmes embarqués Système dexploitation Linux Avancé Système dexploitation Windows Avancé Systèmes dexploitation informatique Avancé Technologies de laccessibilité numérique Visual Basic XML,Bachelor Concepteur Développeur dApplications En cours Bac3 Bac4 ou équivalents 1 Ans,CDI,Développeur,12.0,14,608
Game designer,immédiate,01 - BOURG-EN-BRESSE,Concevoir un projet décriture Gestion de projet Anglais niveau avancé B2 Concevoir des projets en jeux vidéo game design,Algorithmique Anglais niveau avancé B2 Avancé Argumentation commerciale Basic C Conception et réalisation de sites web danimation de jeux vidéo CSS Écriture de scénario Espagnol Intermédiaire Gestion de projet multimédia Avancé Histoire du cinéma HTML Java Langage C Langages de programmation de Commande Numérique CN Avancé Langages de programmation informatique Avancé Logiciel danimation 3D Débutant Maîtrise des techniques de storytelling Avancé Management de proximité Intermédiaire PHP Programmation en Python Programmation logicielle Projet pour le cinéma Projet radiophonique ou télévisé Intermédiaire Réseaux informatiques et télécoms Site de vente en ligne Débutant Systèmes dinformation de gestion Technologies de laccessibilité numérique Avancé Théâtre contemporain Avancé Types de plans de vue,Unity Developper Blackfoot Sarl Paris 3 Ans,Intérim,Autre,36.0,01,609
"A la recherche d'un emploi dans la recherche et développement, mathématiques appliquées, modelisation, simulation, optimisation, domaines du bâtiment et de l'énergie",immédiate,06 - NICE,Programmation en Python Modélisation et simulation Modélisation mathématique Anglais Français,Adapter les outils de traitement statistique de données Intermédiaire Intégrer des outils IAData Science Débutant,Chercheur Postdoctorat La Rochelle 1 Ans,CDD-alternance,Autre,12.0,06,610
"Docteur en génie électrique, instrumentation et informatique d'image",immédiate,14 - CAEN,Adapter les outils de traitement statistique de données Algorithmique Animer coordonner une équipe Réaliser des études spécifiques,Algorithmique Analyse de données expérimentales Big data Analytics Conception de programmes de formation Logiciels de gestion de base de données Sciences économiques et sociales Utilisation de logiciels statistiques,POEC DATA ANALYST Passage de certification Tosa Python 4 Ans,CDD,Autre,48.0,14,611
"Journaliste / reporter d'images, 8 ans d'expérience sur le terrain (interview, compte-rendus, écriture, titraille, SEO, SR, tournage, montage, présentation plateau)",immédiate,35 - RENNES,Faire preuve de curiosité Faire preuve de réactivité Prendre des initiatives et être force de proposition Sadapter aux changements Travailler en équipe,Culture générale Avancé Culture sportive Avancé Linguistique Stratégies de communication digitale Avancé,Pigiste Journaliste reporter dimages LEquipe FranceCette Expérience contient une pièce jointe 1 Ans,CDD-alternance,Autre,12.0,35,612
"Technicien De Production /  Magasinier / Cariste CACES 1, 2, 3, 5 et 6",immédiate,50 - SAINT-LÔ,,Administration centrale Avancé Analyse de données expérimentales Intermédiaire Analyse des besoins des clients Avancé Application mobile sous Android Débutant Application web Approvisionnement en ligne E achat Avancé Architecture réseau Intermédiaire Big data Analytics Débutant Business Intelligence BI Informatique décisionnelle Avancé Caractéristiques socioculturelles des publics Avancé CMS Système de gestion de contenu Joomla Avancé Conception de programmes de formation Intermédiaire Conception et analyse denquête Avancé Déploiement de services cloud cloud computing Intermédiaire Données dactivité de la structure du service Avancé Ecommerce Avancé Économétrie Avancé Économie du développement durable Intermédiaire Économie sociale Avancé Gestion administrative Avancé Gestion de données Débutant Gouvernance dentreprise Intermédiaire HTML Avancé Insights marketing Avancé Intelligence économique Intermédiaire Java Intermédiaire Langages de programmation informatique Intermédiaire Langages de programmation pour développements mobiles Intermédiaire Maîtrise statistique des procédés MSP Statistical Process Control SPC Intermédiaire Merchandising Marchandisage Avancé Modélisation et simulation Débutant MySQL Intermédiaire Outils de web analyse web analytics Avancé PDO PHP Data Objects Débutant PHP Avancé Progiciel de gestion SAS Statistiques Intermédiaire Programmation en JavaScript Intermédiaire Programmation en Python Intermédiaire Programmation orientée objet POO Débutant Psychologie de lenfant Intermédiaire Sciences économiques et sociales Intermédiaire Search Engine Marketing SEM Avancé Stratégie de développement Avancé Techniques dentretien denquête Intermédiaire Techniques dexploration de données data mining Débutant Techniques de négociation avancées Intermédiaire Utilisation de logiciels statistiques Intermédiaire Webmarketing Avancé WordPress CMS Intermédiaire XML Intermédiaire,Titre professionnel concepteur développeur dapplications 2 Ans,CDD-alternance,Autre,24.0,50,613
Chef de Projet Digital,immédiate,06 - NICE,,Gestion de projet Marketing des réseaux sociaux Marketing mobile Méthodes denquête Organisation de la chaîne logistique Outils de planification Procédures dappels doffres Stratégies de vente en ligne Techniques de marketing digital,Chef de Projet Informatique CGI France Le Haillan France 1 Ans,CDD,Chef de projet/Scrum Master,12.0,06,614
"SDM - Infrastructure, ITSM Chef de Projet",immédiate,69 - LYON,Gestion de projet Gestion Parc informatique Infrastructure ITIL v3 Foundation Management SLA KPI,Génie logiciel Gestion budgétaire Avancé Informatique industrielle Logiciel de traitement de texte Avancé Microinformatique Modèle informatique clientserveur Avancé Réseaux informatiques et télécoms Avancé Système dexploitation AS 400 Système dexploitation informatique Android Système dexploitation informatique Apache Tomcat Système dexploitation informatique Sun OS Systèmes dexploitation informatique Systèmes dinformation de gestion Techniques daudit interne Avancé Technologie de linternet Avancé Technologies de laccessibilité numérique Technologies informatiques Avancé Technologies télécoms Avancé Utilisation de logiciels de tableur Avancé,Service Delivery Manager ITC Infotech Paris 1 Ans,CDD-alternance,Chef de projet/Scrum Master,12.0,69,615
Journaliste Sportif,immédiate,07 - PRIVAS,,Culture sportive Logiciels dédition multimédia Logiciels de gestion de base de données Publication Assistée par Ordinateur PAO Typographie,Commentateur sportif FFFTV 1 Ans,CDD,Autre,12.0,07,616
Linguiste informaticienne,immédiate,35 - RENNES,Application des méthodes de machine learning dans BI Travailler en équipe Analyser exploiter structurer des données Linguistique,Analyse de données expérimentales Avancé Application des méthodes de machine learning dans BI Lexicologie Avancé Linguistique Avancé Modélisation et simulation Avancé Sociologie Avancé,Linguiste informaticienne Airbus Eowin Toulouse 31 3 Ans,CDI,Autre,36.0,35,617
Data Scientist,immédiate,03 - MOULINS,Application des méthodes de machine learning dans BI Établir des prévisions des évaluations des recommandations des perspectives Exploiter des solutions de Data Science ou dIntelligence Artificielle Programmation en Python Rédiger les volets IA et Data Science dune proposition commerciale de développement de solution,Analyse de données expérimentales Application des méthodes de machine learning dans BI Big data Analytics Business Intelligence BI Informatique décisionnelle Économie du développement durable Gestion budgétaire Gestion des relations clientèle Intelligence économique Langages de programmation informatique Logiciels de gestion de base de données Modélisation et simulation Modélisation statistique Programmation en Python Système dexploitation Unix Système dexploitation Windows Système de Gestion de Bases de Données SGBD Technologies HADOOP Utilisation de logiciels statistiques,Data Scientist SIEMENS Paris 5 Ans,CDD,Data Scientist,60.0,03,618
Ouvert pour une nouvelle opportunité de CDi/CDD/alternance en tant que Data Scientist/Data Analytics/Python Developer,immédiate,35 - RENNES,Application des méthodes de machine learning dans BI Data Analy data science Gestion de bases de données NoSQL python,Application des méthodes de machine learning dans BI Débutant Application web Intermédiaire Gestion de bases de données NoSQL Intermédiaire Gestion de données Intermédiaire Gestion de versions de logiciels de jeux Intermédiaire Programmation en Python Intermédiaire Techniques dexploration de données data mining Intermédiaire Visual Basic for Applications VBA Intermédiaire,Réseau des GRETACFA Académie dAixMarseille Cette Formation contient une pièce jointe 2 Ans,CDD,Data Scientist,24.0,35,619
Data Scientist & UI/UX Designer,immédiate,France,,3DS MAX Intermédiaire After Effects Intermédiaire Analyse de données expérimentales Intermédiaire Arborescence dun site web Avancé Blender Intermédiaire Chaîne graphique Avancé Colorimétrie Avancé Conception de sites web Avancé Ergonomie dun site web Avancé Gestion de projet multimédia Avancé HTML Avancé Illustrator Intermédiaire InDesign Avancé Logiciels de création vidéo Intermédiaire Logiciels de montage photo Intermédiaire Maîtrise des techniques de storytelling Intermédiaire Outils de traitement ou dintégration en animation vectorielle Intermédiaire Outils de traitement ou dintégration en images Intermédiaire Outils de traitement ou dintégration en son Avancé Outils de web analyse web analytics Intermédiaire Photoshop Intermédiaire Programmation en JavaScript Intermédiaire Search Engine Marketing SEM Intermédiaire Site de vente en ligne Avancé Technologies de laccessibilité numérique Avancé Typographie Avancé Webmarketing Avancé Zbrush Intermédiaire,Mastère 2 Digital design Bac5 et plus ou équivalents 4 Ans,Intérim,Data Scientist,48.0,France,620
"Data Scientist, data analyst",immédiate,40 - MONT-DE-MARSAN,,Algorithmique Analyse de données expérimentales Big data Analytics Business Intelligence BI Informatique décisionnelle Conception et analyse denquête Économétrie Gestion de bases de données NoSQL Langages de programmation informatique Logiciels de gestion de base de données Modélisation statistique Programmation en Python Utilisation de logiciels statistiques,Data scientist 5 Ans,CDD,Data Analyst,60.0,40,621
Docteur en Biogéographie - Data Analyst - Consultant,immédiate,73 - CHAMBÉRY,,Big data Analytics Écologie,Doctorat en Biogéographie Bac5 et plus ou équivalents 1 Ans,CDI,Data Analyst,12.0,73,622
"Data Scientist Expert en Machine Learning et Cloud Computing, à la Recherche d'une Nouvelle Expérience",immédiate,67 - STRASBOURG,Data engineer Agililté Application des méthodes de machine learning dans BI GitHub Programmation en Python,Analyse de données expérimentales Application des méthodes de machine learning dans BI Avancé Business Intelligence BI Informatique décisionnelle Avancé Déploiement de services cloud cloud computing Intermédiaire Docker Avancé GitHub Avancé JIRA Intermédiaire Logiciels de gestion de base de données Modélisation et simulation Programmation en Python Avancé Utilisation de logiciels statistiques,Data scientist AubagneCette Expérience contient une pièce jointe 2 Ans,CDI,Data Scientist,24.0,67,623
A la recherche d'un poste dans la Data.,immédiate,40 - MONT-DE-MARSAN,Esprit de synthèse Gestion de bases de données NoSQL Langages de programmation informatique Méthodes agiles Programmation en Python,Déploiement de services cloud cloud computing Intermédiaire Gestion de bases de données NoSQL Avancé Google Analytics Intermédiaire Langages de programmation informatique Avancé Programmation en Python Avancé,Data Analyst CDI URGO HEALTHCARE Dijon 4 Ans,CDI,Autre,48.0,40,624
Data Scientist,immédiate,18 - BOURGES,Concevoir une application web,Analyser exploiter structurer des données Intermédiaire Concevoir une application web Avancé Définir et faire évoluer des procédés de traitement de linformation Intermédiaire,Data Scientist Consultant Capgemini TOULOUSE 2 Ans,CDD-alternance,Data Scientist,24.0,18,625
Ingénieur Big Data,immédiate,29 - BREST,,Apache Application des méthodes de machine learning dans BI Déploiement de services cloud cloud computing Grande distribution Java Microsoft Exchange Server MySQL Programmation en Python Système de Gestion de Bases de Données SGBD Système temps réel Techniques dexploration de données data mining,DATA SCIENTIST FIPSICO Lille 5 Ans,Intérim,Autre,60.0,29,626
Data Analyst,immédiate,49 - ANGERS,Analyser exploiter structurer des données Communiquer les résultats des études aux parties prenantes Concevoir des modèles de détection des insights consommateurs Faire preuve dautonomie Prendre des initiatives et être force de proposition,Adapter les outils de traitement statistique de données Analyser exploiter structurer des données Assister une structure dans linterprétation et lanalyse dune étude Définir et faire évoluer des procédés de traitement de linformation,Master DATA Bac5 et plus ou équivalents 2 Ans,CDD,Data Analyst,24.0,49,627
Reconversion en Data Analyst,immédiate,28 - CHARTRES,Faire preuve de curiosité Rédiger un rapport un compte rendu dactivité Utilisation de logiciels de tableur Utiliser les outils numériques Apporter une assistance technique aux équipes,Business Intelligence BI Informatique décisionnelle Conception et analyse denquête Identification des signes et du degré de la douleur Avancé Informatique Intermédiaire Langages de programmation informatique Logiciel de traitement de texte Intermédiaire Modélisation et simulation Modélisation statistique Soins de nursing Intermédiaire Techniques de mobilisation des patients Intermédiaire Terminologie médicale Intermédiaire Traitement des commandes Utilisation de logiciels de tableur Intermédiaire,Data analyst Bac3 Bac4 ou équivalents 3 Ans,CDI,Data Analyst,36.0,28,628
Data Scientist Junior,immédiate,26 - VALENCE,,Application des méthodes de machine learning dans BI Avancé Business Intelligence BI Informatique décisionnelle Maîtrise du pack Office Word Excel Outlook PowerPoint Avancé Modélisation et simulation Programmation en Python Système de Gestion de Bases de Données SGBD,Data Scientist SANEF Issy les Moulineaux 4 Ans,Intérim,Data Scientist,48.0,26,629
Data scientist,immédiate,35 - RENNES,Algorithmique Business Intelligence BI Informatique décisionnelle Logiciels de gestion de base de données Modélisation statistique,Algorithmique Analyse de données expérimentales Big data Analytics Business Intelligence BI Informatique décisionnelle Logiciels de gestion de base de données Modélisation et simulation Modélisation statistique Utilisation de logiciels statistiques,Stages monde stages professionnels dans le monde entier AsieOcéanie 3 Ans,Intérim,Data Scientist,36.0,35,630
Data Analyst,immédiate,76 - ROUEN,,Gestion de versions de logiciels de jeux Avancé PLSQL Avancé Programmation en Python Avancé Système dexploitation informatique VMWare virtualisation darchitecture Avancé Système dexploitation Linux Avancé,Anglais 1 Ans,Intérim,Data Analyst,12.0,76,631
"Data, IA, Computer vision, Traitement d'image, Python, JavaScript",immédiate,22 - SAINT-BRIEUC,Travailler en équipe Application web Concevoir une application web Français Anglais,Anglais technique Apache Application web Intermédiaire Architecture propriétaire Architecture web Big data Analytics Intermédiaire C CSS Gestion de bases de données NoSQL Gestion des relations clientèle HTML Informatique industrielle Informatique scientifique et technique J2EE Java Langage C PHP Programmation en Python Publication Assistée par Ordinateur PAO Réseaux informatiques et télécoms Sécurité des systèmes embarqués XML,Développeurse RPG et web sous IBM i 2 Ans,CDD-alternance,Autre,24.0,22,632
"Senior Data Analyst, j’ai travaillé en tant que consultant interne chargé de fournir des analyses et insights concrets sur des problématiques business.",immédiate,38 - GRENOBLE,Analyse de données expérimentales Gestion de projet Mettre en place des solutions damélioration de la performance Réaliser une étude marketing Rédiger un rapport un compte rendu dactivité,Concevoir la campagne promotionnelle dun produit Contractualiser une prestation avec un client Élaborer adapter une proposition commerciale Élaborer un plan marketing une stratégie de marque et de communication Mettre en oeuvre des actions commerciales et promotionnelles Réaliser une étude marketing Répondre à un appel doffre,MASTER 2 PROGRAMME GRANDE ECOLE TOULOUSE BUSINESS SCHOOL Bac5 et plus ou équivalents 4 Ans,Intérim,Data Analyst,48.0,38,633
Business Data Analyst - bilingue anglais - 7 ans d'expérience,immédiate,07 - PRIVAS,Travailler en équipe Analyse de données expérimentales Gestion de projet Recueillir et analyser les besoins client Techniques de communication orales écrites et numériques,Analyser un marché Avancé Concevoir la campagne promotionnelle dun produit Avancé Concevoir un argumentaire produit Intermédiaire Définir une gamme de produits Avancé Développer et fidéliser la relation client Avancé Élaborer un plan marketing une stratégie de marque et de communication Avancé Mettre en oeuvre des actions commerciales et promotionnelles Avancé Réaliser une veille de marché une veille concurrentielle Avancé,Développeur en intelligence artificielle bloc 1 analyse exploratoire et descriptive de la donnée B Bac5 et plus ou équivalents 5 Ans,CDD,Data Analyst,12.0,07,634
Jeune diplomé avec 1 an d'expérience disponible pour le poste de Data Scientist/Analyst/Big Data,immédiate,21 - DIJON,Analyse de données expérimentales Langages de programmation informatique Modélisation statistique Utilisation de logiciels statistiques,Algorithmique Analyse de données expérimentales Big data Analytics Économétrie Langages de programmation informatique Logiciels de gestion de base de données Modélisation et simulation Modélisation statistique Utilisation de logiciels statistiques,Master statistique et économétrie Bac5 et plus ou équivalents 1 Ans,CDD-alternance,Data Scientist,12.0,21,635
Chargée d'études actuarielles/statistiques/data analyst,immédiate,57 - METZ,,Gestion de bases de données NoSQL Gestion de la sécurité des données dans les projets BI Maitrise statistique du processus MSP Microsoft Excel Microsoft PowerPoint Microsoft Word Progiciel de gestion SAS Statistiques Programmation en Python Science actuarielle Utilisation de logiciels statistiques,Ingénierie Statistique et économique de la Finance de lassurance et du risque Bac5 et plus ou équivalents 5 Ans,CDD,Data Analyst,60.0,57,636
Data Engineer | Analyst,immédiate,03 - MOULINS,Adapter les outils de traitement statistique de données Définir et faire évoluer des procédés de traitement de linformation Langages de programmation informatique Modélisation et simulation Réaliser des études spécifiques,Algorithmique Avancé Analyse de données expérimentales Intermédiaire Big data Analytics Intermédiaire Business Intelligence BI Informatique décisionnelle Intermédiaire Conception et analyse denquête Langages de programmation informatique Avancé Logiciels de gestion de base de données Intermédiaire Modélisation et simulation Avancé Modélisation statistique Avancé,INTELLIGENCE ARTIFICIELLE FONDEMENTS ET APPLICATIONS Bac5 et plus ou équivalents 3 Ans,CDI,Data Engineer,36.0,03,637
Economiste & Data Analyst | Macroéconomie | Prévision économique et financière,immédiate,54 - NANCY,Analyse de données expérimentales Anglais Logiciels de gestion de base de données Réaliser une veille documentaire Sciences économiques et sociales,Analyse de données expérimentales Avancé Économétrie Avancé Logiciels de gestion de base de données Avancé Mathématiques financières Avancé Sciences économiques et sociales Avancé Statistiques appliquées Avancé,Analyser les données avec Microsoft Power BI 4 Ans,CDD,Data Analyst,48.0,54,638
Data scientist,immédiate,31 - TOULOUSE,Faire preuve de créativité dinventivité Informatique Structurer synthétiser des informations Utiliser les outils numériques Anglais,Développer une démarche pédagogique pour lenseignement des savoirs fondamentaux Évaluer des acquis dapprentissage de formation ou dexpérience Organiser des évaluations de connaissances et de compétences des examens Avancé,Master MEEF Mathématiques Bac5 et plus ou équivalents 1 Ans,CDD-alternance,Data Scientist,12.0,31,639
Ingénieur généraliste diplômé. Spécialisation en mécatronique et robotique. Formation complémentaire en big data,immédiate,France,Être à lécoute faire preuve dempathie Faire preuve dautonomie Faire preuve de curiosité Sadapter aux changements,Algorithmique Débutant Analyse de cycle de vie Débutant Analyse de risque Débutant Application des méthodes de machine learning dans BI Débutant Automatisme Débutant Big data Analytics Intermédiaire Business Intelligence BI Informatique décisionnelle Débutant Conception dun grafcet Débutant Économie du développement durable Débutant Électricité Débutant Énergies renouvelables Débutant Informatique Intermédiaire Installation de systèmes hydrauliques Intermédiaire Langage C Débutant Langages de programmation informatique Intermédiaire Logiciels de gestion de base de données Débutant Mécanique des fluides Intermédiaire Mécatronique Débutant Mise à jour des connaissances en mécanique Débutant Pneumatique Débutant Programmation en Python Intermédiaire Robotique Débutant Techniques daudit interne Débutant Thermodynamique Débutant Utilisation de logiciels de CAODAO Débutant Utilisation de logiciels statistiques Débutant Visual Basic Intermédiaire,Chef de projet en transformation digitale France Chimie Grand Est Mulhouse 5 Ans,Intérim,Autre,60.0,France,640
Data Scientist /Analyst - Statisticien,immédiate,75 - PARIS 01,Analyse de données expérimentales Économétrie Logiciels de gestion de base de données NOSQL MongoDB Utilisation de logiciels statistiques,Analyse de données expérimentales Avancé Application des méthodes de machine learning dans BI Avancé Big data Analytics Avancé Character Studio Avancé Déploiement de services cloud cloud computing Avancé Économétrie Avancé Gestion de bases de données NoSQL Avancé Langages de programmation informatique Avancé Logiciels de gestion de base de données Avancé Microsoft PowerPoint Avancé Modélisation et simulation Avancé Modélisation statistique Avancé MySQL Avancé Programmation en Python Avancé Proplan Avancé Utilisation de logiciels statistiques Avancé,Master IES Data Science for Social Sciences Bac5 et plus ou équivalents 4 Ans,CDD,Data Scientist,48.0,75,641
Data Analyst,immédiate,29 - BREST,Prendre une décision et lexpliquer Analyse de données expérimentales Analyser exploiter structurer des données Déterminer et développer les méthodes de recherche de recueil et danalyse de données Structurer synthétiser des informations,Analyse de données expérimentales Conception et analyse denquête Méthodes et outils de résolution de problèmes Modélisation et simulation Technologie de Groupe Assistée par Ordinateur TGAO Utilisation de logiciels de CAODAO Utilisation de logiciels de conception et fabrication assistée par ordinateur CFAO,Data Analyst Le Groupe La POSTE IssylesMoulineaux 5 Ans,CDD,Data Analyst,60.0,29,642
"Jeune diplômé, Recherche CDI dans le domaine de la data",immédiate,59 - LILLE,Data engineer Définir les solutions de stockage et de structuration des données Mettre en place des solutions damélioration de la performance Programmation en Python Utiliser langlais en contexte professionnel,Algorithmique Anglais technique Application web Architecture web Business Intelligence BI Informatique décisionnelle Déploiement de services cloud cloud computing Génie logiciel Informatique scientifique et technique Intelligence artificielle Langages de programmation informatique Maîtrise dun outil de gestion de flux Kafka Flink… Modèle informatique clientserveur Programmation en Python Programmation logicielle Système dexploitation Linux Systèmes dexploitation informatique Systèmes dinformation de gestion Technologies HADOOP Technologies SPARK Framework,M2 Data Engineer Data Scientist Bac5 et plus ou équivalents 3 Ans,CDI,Autre,36.0,59,643
Data Analyst,immédiate,67 - STRASBOURG,Élaborer des solutions techniques et fonctionnelles Méthode AGILE Modélisation informatique Rédiger de linformation Analyser exploiter structurer des données,Adapter les outils de traitement statistique de données Avancé Analyser exploiter structurer des données Avancé Concevoir larchitecture dun système dun réseau Déployer intégrer un logiciel un système dinformations une application Procéder aux phases de tests et de recettes des applications développées Intermédiaire Réaliser un modèle de prévision Intermédiaire,Data analyst Hn services 2 Ans,CDI,Data Analyst,24.0,67,644
A la recherche d’un poste en Data Science / Data Engineering,immédiate,08 - CHARLEVILLE-MÉZIÈRES,Logiciels de gestion de base de données Programmation en Python Réaliser un modèle de prévision Adapter les outils de traitement statistique de données Utilisation de logiciels statistiques,Algorithmique Intermédiaire Analyse de données expérimentales Avancé Big data Analytics Intermédiaire Déploiement de services cloud cloud computing Débutant Économétrie Intermédiaire Insights marketing Intermédiaire Logiciels de gestion de base de données Intermédiaire Modélisation statistique Avancé Programmation en Python Intermédiaire Utilisation de logiciels statistiques Avancé,Consultant data scientist Micropole Levallois 2 Ans,CDD-alternance,Data Engineer,24.0,08,645
Nouveau diplômé d'un Master en Gouvernance des Donnée | Aspirant Data Analyst,immédiate,27 - ÉVREUX,Règlement Général européen sur la Protection des Données RGPD Systèmes dinformation de gestion Business Intelligence BI Informatique décisionnelle Gestion de bases de données NoSQL Programmation en Python,Business Intelligence BI Informatique décisionnelle Intermédiaire Gestion de bases de données NoSQL Intermédiaire Google Analytics Langages de programmation informatique Intermédiaire Logiciels de gestion de base de données Intermédiaire MySQL Intermédiaire PHP Intermédiaire Programmation en Python Intermédiaire Questions juridiques SharePoint Suite bureautique LibreOffice Système dexploitation informatique Open BSD Systèmes dinformation de gestion Systèmes de gestion de base de données Intermédiaire XML,Stagiaire en tant que Data analyste Hôtel Restaurant du Palais des Papes Avignon 2 Ans,CDI,Data Analyst,24.0,27,646
Data Scientist & Data Analyst,immédiate,68 - MULHOUSE,Lire et interpréter des données et documents techniques au besoin en anglais Modélisation statistique Programmation en Python Réaliser un modèle de prévision R,Gantt Project Gestion Avancé Gestion de bases de données NoSQL Avancé Gestion de versions de logiciels de jeux Avancé JIRA Avancé Modélisation et simulation Modélisation statistique Programmation en Python Suite bureautique LibreOffice Intermédiaire,Stagiaire Data scientist Deeptimize 3 Ans,CDI,Data Analyst,36.0,68,647
Reconversion Test logiciel,immédiate,13 - MARSEILLE,Analyser exploiter structurer des données Communiquer auprès de ses clients internes et externes Finance Gestion de bases de données NoSQL Parler une ou plusieurs langues étrangères,Anglais technique Comptabilité générale Finance Gestion de bases de données NoSQL Gestion des relations clientèle Programmation en Python Systèmes dinformation de gestion,DATA MANAGEMENT FOR FINANCE Bac5 et plus ou équivalentsCette Formation contient une pièce jointe 5 Ans,CDI,Autre,60.0,13,648
